territorio,geocode,estado,ano,classe,valor_pixel,area_ha
"Figueirópolis D'Oeste",5103809,MT,2000,"Lavoura Temporária",19,73.5191
"Figueirópolis D'Oeste",5103809,MT,2000,"Formação Campestre",12,996.8050
"Figueirópolis D'Oeste",5103809,MT,2000,"Formação Florestal",3,10812.4034
"Figueirópolis D'Oeste",5103809,MT,2000,"Agricultura",18,73.5191
"Figueirópolis D'Oeste",5103809,MT,2000,"Rio, Lago e Oceano",33,277.9564
"Figueirópolis D'Oeste",5103809,MT,2000,"Outras Áreas não Vegetadas",25,14.9805
"Figueirópolis D'Oeste",5103809,MT,2000,"Campo Alagado e Área Pantanosa",11,241.3906
"Figueirópolis D'Oeste",5103809,MT,2000,"Floresta Alagável",6,1223.1958
"Figueirópolis D'Oeste",5103809,MT,2000,"Afloramento Rochoso",29,479.5955
"Figueirópolis D'Oeste",5103809,MT,2000,"Pastagem",15,74448.2471
"Figueirópolis D'Oeste",5103809,MT,2000,"Área Urbanizada",24,93.4067
"Figueirópolis D'Oeste",5103809,MT,2000,"Formação Savânica",4,482.4337
"Figueirópolis D'Oeste",5103809,MT,2000,"Floresta",1,12518.0329
"Figueirópolis D'Oeste",5103809,MT,2000,"Vegetação Herbácea e Arbustiva",10,1717.7912
"Figueirópolis D'Oeste",5103809,MT,2000,"Agropecuária",14,74521.7662
"Figueirópolis D'Oeste",5103809,MT,2000,"Área não Vegetada",22,108.3871
"Figueirópolis D'Oeste",5103809,MT,2000,"Corpo D'Água",26,277.9564
"Figueirópolis D'Oeste",5103809,MT,2001,"Outras Lavouras Temporárias",41,15.2564
"Figueirópolis D'Oeste",5103809,MT,2001,"Lavoura Temporária",19,15.2564
"Figueirópolis D'Oeste",5103809,MT,2001,"Formação Campestre",12,996.6245
"Figueirópolis D'Oeste",5103809,MT,2001,"Formação Florestal",3,9509.3467
"Figueirópolis D'Oeste",5103809,MT,2001,"Agricultura",18,15.2564
"Figueirópolis D'Oeste",5103809,MT,2001,"Rio, Lago e Oceano",33,263.6669
"Figueirópolis D'Oeste",5103809,MT,2001,"Outras Áreas não Vegetadas",25,15.3246
"Figueirópolis D'Oeste",5103809,MT,2001,"Campo Alagado e Área Pantanosa",11,245.2607
"Figueirópolis D'Oeste",5103809,MT,2001,"Floresta Alagável",6,1168.7417
"Figueirópolis D'Oeste",5103809,MT,2001,"Afloramento Rochoso",29,479.9407
"Figueirópolis D'Oeste",5103809,MT,2001,"Pastagem",15,75847.9945
"Figueirópolis D'Oeste",5103809,MT,2001,"Área Urbanizada",24,93.7515
"Figueirópolis D'Oeste",5103809,MT,2001,"Formação Savânica",4,508.0254
"Figueirópolis D'Oeste",5103809,MT,2001,"Floresta",1,11186.1138
"Figueirópolis D'Oeste",5103809,MT,2001,"Vegetação Herbácea e Arbustiva",10,1721.8260
"Figueirópolis D'Oeste",5103809,MT,2001,"Agropecuária",14,75863.2510
"Figueirópolis D'Oeste",5103809,MT,2001,"Área não Vegetada",22,109.0761
"Figueirópolis D'Oeste",5103809,MT,2001,"Corpo D'Água",26,263.6669
"Figueirópolis D'Oeste",5103809,MT,2002,"Outras Lavouras Temporárias",41,7.7571
"Figueirópolis D'Oeste",5103809,MT,2002,"Lavoura Temporária",19,7.7571
"Figueirópolis D'Oeste",5103809,MT,2002,"Formação Campestre",12,1006.7943
"Figueirópolis D'Oeste",5103809,MT,2002,"Formação Florestal",3,9248.1645
"Figueirópolis D'Oeste",5103809,MT,2002,"Agricultura",18,7.7571
"Figueirópolis D'Oeste",5103809,MT,2002,"Rio, Lago e Oceano",33,276.3674
"Figueirópolis D'Oeste",5103809,MT,2002,"Outras Áreas não Vegetadas",25,10.5939
"Figueirópolis D'Oeste",5103809,MT,2002,"Campo Alagado e Área Pantanosa",11,263.3756
"Figueirópolis D'Oeste",5103809,MT,2002,"Floresta Alagável",6,1211.1033
"Figueirópolis D'Oeste",5103809,MT,2002,"Afloramento Rochoso",29,480.1129
"Figueirópolis D'Oeste",5103809,MT,2002,"Pastagem",15,76009.1369
